conm,cusip,cusip9digit,gvkey,id1,loc,ticker
ACTION STAFFING INC,00491410,004914107,14052,286,USA,8236B
ACTION PERFORMANCE COS INC,00493310,004933107,28182,285,USA,ATN.2
ACTIVEWORLDS CORP  -OLD,00599X93,00599X930,109931,293,USA,AWLD.1
ACTRADE FINL TECHNOLGIES LTD,00507P10,00507P102,22843,297,USA,ACRTQ
ACUITY IMAGING INC,00508110,005081104,1896,303,USA,ACUT
ACUITY CIMATRIX INC,77107430,771074309,9191,302,USA,RVSIQ
ADAL GROUP INC,00547310,005473103,13537,310,USA,ADGR
ADACORP INC,00531520,005315205,1116,309,USA,ADAI20
ADCO TECHNOLOGIES INC,00088510,000885103,31526,324,USA,ADCO.1
ADAPTIVE BROADBAND CORP.,00650M10,00650M104,2625,321,USA,ADAP.1
ADAMS RESPIRATORY THERAPTCS,00635P10,00635P107,163628,318,USA,ARXT
ADAMS NATURAL RESOURCES FUND,00548F10,00548F105,14753,315,USA,PEO
ADAMS OUTDOOR ADVERTSG  -LP,00634893,006348932,64771,316,USA,3185B
ADAMS DIVERSIFIED EQUITY FD,00621210,006212104,1119,313,USA,ADX
ADDISON-DAVIS DIAGNOSTICS,00653320,006533202,105851,326,USA,ADSD
ADELANTE SHS RE COMPOSITE,75610270,756102703,178447,334,USA,ACB.1
ADELANTE SHS RE CLASSICS ETF,75610230,756102307,178446,333,USA,ACK.1
ADELANTE SHARES RE KINGS ETF,75610240,756102406,178449,332,USA,AKB
ADELANTE SHARES RE GRWTH ETF,75610210,756102109,178448,331,USA,AGV
ADE CORP/MA,00089C10,00089C107,61427,330,USA,ADEX
ADELANTE SHS RE SHELTER ETF,75610260,756102604,178451,335,USA,AQS.1
ADDSCO INDUSTRIES INC,00088710,000887109,1014,327,USA,3ADDS
ADERIS PHARMACEUTICALS INC,00686M10,00686M102,146736,342,USA,ADPX.
ADFORCE INC,00686710,006867105,120313,349,USA,ADFC
ADFITECH INC,00687B10,00687B105,184541,347,USA,ADFT
ADEXA INC,00686P10,00686P105,140906,345,USA,ADXA
ADELPHIA COMMUN  -CL A,00684810,006848105,12484,339,USA,ADELQ
ADELANTE SHS RE YIELD PLUS,75610250,756102505,178450,337,USA,ATY.3
ADELANTE SHS RE VALUE ETF,75610220,756102208,178452,336,USA,AVU.2
ADTEC INC,00738C10,00738C102,13087,373,USA,8705B
ADS TACTICAL INC  -REDH,00101D10,00101D109,186452,368,USA,ADSI
ADSTAR INC,00737P10,00737P104,124934,369,USA,ADST
ADOBE RESOURCES CORP,00724010,007240104,6934,364,USA,ADB.1
ADMIRALTY BANCORP INC,00723110,007231103,114648,361,USA,AAAB.
ADMAR GROUP INC,00709330,007093305,13171,360,USA,ADMR.
ADJUSTABLE RATE MBS TRUST,00703310,007033103,164118,357,USA,ADJ.Z
ADITX THERAPEUTICS INC -REDH,00799G93,00799G935,35958,356,USA,ADTX
ADIRONDACK TRUST CO,00701410,007014103,17222,355,USA,ADKT
ADV INHALATION THERAPYS-REDH,M0182P10,M0182P100,26095,378,USA,AITP
ADV COMMUNICATION SYSTEM INC,00750X10,00750X109,64996,377,USA,ACSC
ADVANCE CIRCUITS INC,00738310,007383102,1137,386,USA,ADVC.
ADVANCED BATTERY TECH INC,00752H10,00752H102,2831,393,USA,ABAT
ADVANCED ACCESSORY HLDGS CP,00799Y93,00799Y936,145984,391,USA,0769B
ADVANCE FINANCIAL BANCORP,00743710,007437106,64546,388,USA,AFBC
ADVANCED BIOHEALING  -REDH,00752T10,00752T106,186609,394,USA,ABHB
ADVANCE AMER CASH ADVANCE CT,00739W10,00739W107,161067,384,USA,AEA
ADVACARE INC,00738B10,00738B104,24875,383,USA,AVCR
ADVA INTERNATIONAL INC,00100W10,00100W108,13909,382,USA,ADII
ADV TECHNICAL PRODUCTS INC,00754810,007548100,6841,381,USA,ATPX
ADV NEUROMODULATION SYS INC,00757T10,00757T101,8872,380,USA,ANSI
ADV MACHINE VISION CORP-CL A,00753B10,00753B104,25004,379,USA,AMVC
ADVANCED COMPUTER TECHNIQUES,00751810,007518103,1141,396,USA,AVCD
ADVANCED DEPOSITION TECH INC,00752110,007521107,28828,397,USA,ADTC
ADVANCED INTERVENTIONAL SYS,00795410,007954100,24654,408,USA,LAIS
ADVANCED ENGINE TECHNOLOGIES,00758C10,00758C107,66124,404,USA,AENG
ADVANCED LIFE SCIENCE HLDGS,00765H30,00765H305,163919,409,USA,ADLS
ADVANCED LIGHTING TECH INC,00753C10,00753C102,61690,410,USA,3ADLTQ
ADVANCED FINANCIAL,00753J30,00753J305,24328,407,USA,3AVFI.
ADVANCED FIBRE COMM INC,00754A10,00754A105,63678,406,USA,AFCI
ADVANCED MAMMOGRAPHY SYS INC,00753Q10,00753Q101,27621,412,USA,MAMOC
ADVANCED OPTICS ELECTRONICS,00754V10,00754V109,66123,418,USA,ADOT
ADVANCED MONITORING SYS INC,00791010,007910102,1163,417,USA,3ADNME
ADVANCED ENVIR RECYCL  -CL A,00794710,007947104,20036,405,USA,AERT
ADVANCED DIGITAL INFO CORP,00752510,007525108,63644,399,USA,ADIC
ADVANCED DETECTORS INC,00797710,007977101,13485,398,USA,3ADETE
ADVANCED ORTHOPEDIC TECH INC,00754F30,00754F302,24963,419,USA,AOTI
ADVANCED SYSTEMS INTL INC,00757P10,00757P109,66322,428,USA,ADSN
ADVANCED SWITCHING COMM INC,00757V10,00757V106,140441,427,USA,ASCX
ADVANCED SURGICAL INC,00754R10,00754R108,28687,426,USA,ASUR.1
ADVANCED RECYCLING SCIENCES,00762C10,00762C101,31417,425,USA,ARYC.
ADVANCED PROTEOME THERAPETCS,00762820,007628209,26761,424,USA,APTCF
ADVANCED PROMOTION TECH INC,00795210,007952104,24217,423,USA,APTV.1
ADVANCED POWER TECHNOL INC,00761E10,00761E108,138602,422,USA,APTI.2
ADVANCED PHOTONIX INC  -CL A,00754E10,00754E107,23616,421,USA,API
ADVANCED TELECOMMUNICATIONS,00792310,007923105,1171,429,USA,ATEL.1
ADVANCED TISSUE SCI  -CL A,00755F10,00755F103,14836,430,USA,ATISZ
ADVANTAGE ADVISORS MULTI SEC,00763F10,00763F103,161045,439,USA,XAMSX
ADVANTA CORP  -CL B,00794220,007942204,12108,438,USA,ADVBQ
ADVANT-E CORP,00761J20,00761J206,61273,445,USA,ADVC
ADVANTAGE SOLUTION-REDH,61999C93,61999C934,31803,444,USA,ADV
ADVANTAGE PAYROLL SVCS -REDH,00763Q10,00763Q109,147850,443,USA,APAY
ADVANTAGE HEALTH CORP,00755P10,00755P101,24927,442,USA,ADHC.
ADVANTAGE COS INC/DE,00756E10,00756E105,3227,441,USA,ADVG
ADVISORSHARES ACTIV BEAR ETF,00768Y88,00768Y883,186324,456,USA,HDGE
ADVISORSHARES FOCUSED EQUITY,00768Y56,00768Y560,28163,459,USA,CWS
ADVISORSHARES FOLIOBEYOND SM,00768Y83,00768Y834,187482,460,USA,FWDB
ADVISORSHARES DOUBLELI VA EQ,00768Y81,00768Y818,189758,458,USA,DBLV
ADVISORSHARES DENT TACT ETF,00768Y10,00768Y107,183557,457,USA,DENT
ADVISORSHARES MEIDELL TC ADV,00768Y82,00768Y826,187528,468,USA,MATH
ADVISORSHARES MADRONA INTL,00768Y84,00768Y842,187481,467,USA,FWDI
ADVISORSHARES MADRONA DOMSTC,00768Y85,00768Y859,187480,466,USA,FWDD
ADVISORSHARES INTL GOLD ETF,00768Y69,00768Y693,19780,464,USA,GLDE
